"Mayo Test ID","Test Name","CPT Code"
"HSVC","Herpes Simplex Virus (HSV), Molecular Detection, PCR, Spinal Fluid","87529 x 2
  87529 (if appropriate for government payers)"
"INFXR","Infliximab Quantitation with Reflex to Antibodies to Infliximab, Serum","80230
  82397-(if appropriate)"
"LNBAB","Lyme Central Nervous System Infection IgG with Antibody Index Reflex, Serum and Spinal Fluid","86618
  86618 x2 - if applicable
  82040 - if applicable
  82042- if applicable
  82784 x2 - if applicable"
"AMTRP","Amitriptyline and Nortriptyline, Serum","80299"
"DXPIN","Doxepin and Nordoxepin, Serum","80299"
"IMIPR","Imipramine and Desipramine, Serum","80299"
"PTEM","Platelet Transmission Electron Microscopic Study, Whole Blood","85390
  88348"
"STRNG","Strongyloides Antibody, IgG, Serum","86682"
"CHIKM","Chikungunya IgM, Antibody, Serum","86790"
"CHIKG","Chikungunya IgG, Antibody, Serum","86790"
"PSAU","Prostate-Specific Antigen (PSA) Ultrasensitive, Serum","84153"
"CHIKV","Chikungunya IgM and IgG, Antibody, Serum","86790 x2"
"HEX4","Glucotetrasaccharides, Random, Urine","82542
  82570"
"TRMP","Trimipramine, Serum","80299"
"BIWB","Bismuth, Blood","83018"
"MUSK","Muscle-Specific Kinase (MuSK) Autoantibody, Serum","86366"
"PLAFL","Platelet Surface Glycoprotein, Flow Cytometry, Blood","88184-Flow cytometry; first cell surface, cytoplasmic or nuclear marker
  88185-Flow cytometry; additional cell surface, cytoplasmic or nuclear marker (each) X5
  88187-Flow cytometry interpretation, 2 to 8 markers"
"CDIF","Clostridioides difficile Culture, Varies","87081-C. difficile Culture
  87076-Anaerobe Ident (if appropriate)
  87076-Id MALDI-TOF Mass Spec Anaerobe (if appropriate)
  87153-Anaerobe Ident by Sequencing (if appropriate)"
"GALE","Uridine Diphosphate-Galactose 4&amp;#039; Epimerase, Blood","82542"
"GDF15","Growth Differentiation Factor 15, Plasma","83520"
"PBALP","Porphobilinogen and Aminolevulinic Acid, Plasma","82542
  82135"
"PCRID","Identification by PCR (Bill Only)","87150"
"TBIDS","Culture Referred for Identification, Mycobacterium and Nocardia with Antimicrobial Susceptibility Testing, Varies","Culture Referred for Identification, Mycobacterium
  87118-Identificaiton of mycobacteria
  87158-Identification of mycobacteria by other methods (if appropriate)
  87118 -Id MALDI-TOF Mass Spec AFB (if appropriate)
  87153-Mycobacteria Identification by Sequencing (if appropriate)
  87150-Id, Mtb Speciation, PCR (if appropriate)
  87186-Susceptibility Rapid Grower (if appropriate)
  87186-Susceptibility Slow Grower (if appropriate)
  87186-Susceptibility Nocardia species (if appropriate)
  87188 x 3-Antimicrobial Susceptibility, Mycobacterium tuberculosis Complex, Broth Method (if appropriate)
  87186-Suscetpbility, Mtb Cx, 2nd Line (if appropriate)
  87188-Susceptibility, Mycobacterium tuberculosis Complex, Pyrazinamide (if appropriate)
  87153-Mtb PZA Confirmation, pncA Sequencing (if appropriate)
  87150- Id, MTB complex Rapid PCR (if appropriate)"
"ACARP","Acanthamoeba species, Molecular Detection, PCR, Ocular","87798"
"FLARP","Free-Living Amebae, Molecular Detection, PCR, Varies","87798 x 3
  87999 (if appropriate for government payers)"
"SZMON","Sezary Monitoring Flow Cytometry, Blood","88184-Flow cytometry; first cell surface, cytoplasmic or nuclear marker x 1
    88185-Flow cytometry; additional cell surface, cytoplasmic or nuclear marker (each) 
    88188-Flow Cytometry Interpretation, 9 to15 markers (if appropriate)
  88189-Flow Cytometry Interpretation, 16 or more markers (if appropriate)"
"SZDIA","Sezary Diagnostic Flow Cytometry, Blood","88184-Flow cytometry; first cell surface, cytoplasmic or nuclear marker x 1
    88185-Flow cytometry; additional cell surface, cytoplasmic or nuclear marker (each) 
    88188-Flow Cytometry Interpretation, 9 to15 markers (if appropriate)
  88189-Flow Cytometry Interpretation, 16 or more markers (if appropriate)"
"PEANT","Peanut, IgE with Reflex to Peanut Components, IgE, Serum","86003"
"CXLPL","CXCR4 Mutation Analysis, Somatic, Lymphoplasmacytic Lymphoma/Waldenstrom Macroglobulinemia, Varies","81479-Unlisted molecular pathology procedure"
"PRKAF","Fibrolamellar Carcinoma, 19p13.1 (PRKACA) Rearrangement, FISH, Tissue","88271x2, 88291-DNA probe, each (first probe set), Interpretation and report
  88271x2-DNA probe, each; each additional probe set (if appropriate)
  88271x1-DNA probe, each; coverage for sets containing 3 probes (if appropriate)
  88271x2-DNA probe, each; coverage for sets containing 4 probes (if appropriate)
  88271x3-DNA probe, each; coverage for sets containing 5 probes (if appropriate)
  88274-w/modifier 52 -Interphase in situ hybridization,"
"EXHD","Hematologic Disorders, DNA Extract and Hold, Varies","&amp;nbsp;"
"BORDG","Bordetella pertussis Antibody, IgG, Serum","86615"
"ADALX","Adalimumab Quantitative with Reflex to Antibody, Serum","80145
  83520 (if appropriate)"
"AHUSD","Atypical Hemolytic Uremic Syndrome Complement Panel, Serum and Plasma","86160 x 6
  86161
  86162"
"OLIGU","Oligosaccharide Screen, Random, Urine","84377"
"RBCME","Red Blood Cell Membrane Evaluation, Blood","85557-Osmotic fragility
  88184-Flow cytometry; first cell surface, cytoplasmic or nuclear marker x 1
  85060-Morphology review"
"LDALD","Lysosomal and Peroxisomal Disorders Newborn Screen, Blood Spot","83789"
"CHFXH","Chromosome Analysis, Hematologic Disorders, Fixed Cells","88291- Interpretation and report
  88264 w/ modifier 52-Chromosome analysis with less than 20 cells (if appropriate)
  88264-Chromosome analysis with 20 to 25 cells (if appropriate)
  88264, 88285-Chromosome analysis with greater than 25 cells (if appropriate)
  88283-Additional specialized banding technique (if appropriate)"
"EZNT8","Zinc Transporter 8 (ZnT8) Antibody, Serum","86341"
"NR4A3","NR4A3 (9q22.33) Rearrangement, FISH, Tissue","88271 x 2, 88291-DNA probe, each (first probe set), Interpretation and report
  88271 x 2-NA probe, each; each additional probe set (if appropriate)
  88271 x 1-DNA probe, each; coverage for sets containing 3 probes (if appropriate)
  88271 x 2-DNA probe, each; coverage for sets containing 4 probes (if appropriate)
  88271 x 3-DNA probe, each; coverage for sets containing 5 probes (if appropriate)
  88274 w/modifier 52-Interphase in situ hybridization,"
"MSMRT","Mayo Algorithmic Approach for Stratification of Myeloma and Risk-Adapted Therapy Report, Bone Marrow","88182-Flow cytometry, cell cycle or DNA analysis
    88184-Flow cytometry; first cell surface, cytoplasmic or nuclear marker
    88185 x 5-Flow cytometry; additional cell surface, cytoplasmic or nuclear marker (each)
    88187-Flow cytometry interpretation, 2 to 8 Markers"
"HCQ","Hydroxychloroquine, Serum","80220"
"BMIYC","Borrelia miyamotoi Detection PCR, Spinal Fluid","87478"
"TFEBF","Renal Cell Carcinoma, 6p21.1 (TFEB) Rearrangement, FISH, Tissue","88271 x 2, 88291-DNA probe, each (first probe set), Interpretation and report
  88271 x 2-DNA probe, each; each additional probe set (if appropriate)
  88271 x 1-DNA probe, each; coverage for sets containing 3 probes (if appropriate)
  88271 x 2-DNA probe, each; coverage for sets containing 4 probes (if appropriate)
  88271 x 3-DNA probe, each; coverage for sets containing 5 probes (if appropriate)
  88274 w/modifier 52-Interphase in situ hybridization,"
"BILHA","Schistosoma species Antibody, IgG, Serum","86682"
"CH9","Chromogenic Factor IX Activity Assay, Plasma","85130"
"HGBCE","Hemoglobin Variant, A2 and F Quantitation, Blood","83020"
"CZPS","Clonazepam and 7-Aminoclonazepam, Serum","80299"
"BRBPS","Broad Range Bacterial PCR and Sequencing, Varies","87801-Broad Range Bacterial PCR and Sequencing
  87798-Bacterial Ident by Sequencing (if appropriate)
  87798-Specimen Identification by PCR (if appropriate)
  87798-Ident by Next Generation Sequencing (if appropriate)
  87483-Meningitis Encephalitis Panel, PCR (if appropriate)
  87999-Joint Infection Panel, PCR, Synovial Fluid (if appropriate)"
"PNRCH","Drug Immunoassay Panel, Urine","80307"
"NGAML","MayoComplete Acute Myeloid Leukemia, 11-Gene Panel, Varies","81450"
"EMAT","Endomysial Antibodies, IgA, Titer, Serum","86231"
"MPSBS","Mucopolysaccharidosis, Blood Spot","83864"
"BRAFB","Cell-Free DNA BRAF V600, Blood","81210"
"EXHR","Hematologic Disorders, DNA and RNA Extract and Hold, Varies","&amp;nbsp;"
"MPNCM","Myeloproliferative Neoplasm, CALR with Reflex to MPL, Varies","81219-CALR (calreticulin) (eg, myeloproliferative disorders), gene analysis, common variants in exon 9
  81339 -MPL (MPL proto-oncogene, thrombopoietin receptor) (eg, myeloproliferative disorder) gene analysis; sequence analysis, exon 10 (if appropriate)"
"PVJAK","Polycythemia Vera, JAK2 V617F with Reflex to JAK2 Exon 12-15, Sequencing for Erythrocytosis, Varies","81270-JAK2 V617
  0027U (if appropriate)"
"PGN","Pregabalin, Serum","80299"
"MHBRP","Metamycoplasma hominis, Molecular Detection, PCR, Blood","87798"
"URBRP","Ureaplasma species, Molecular Detection, PCR, Blood","87798 x 2
  87999 (if appropriate for government payers)"
"MHPRP","Metamycoplasma hominis, Molecular Detection, PCR, Plasma","87798"
"URPRP","Ureaplasma species, Molecular Detection, PCR, Plasma","87798 x 2
  87999 (if appropriate for government payers)"
"PUPYP","Purines and Pyrimidines Panel, Plasma","82542"
"3MT","3-Methoxytyramine, 24 Hour, Urine","82542"
"META3","Metanephrines with 3-Methoxytyramine, 24 Hour, Urine","82542
  83835"
"NAIFA","Antinuclear Antibodies, HEp-2 Substrate, IgG, Serum","86039"
"BTWGS","Bacterial Typing, Whole Genome Sequencing, Varies","0010U-Bacterial Typing, Whole Genome Seq
  87900-Bioinformatics Reanalysis (if appropriate)
  87077-Ident by MALDI-TOF mass spec (if appropriate)
  87153-Aerobe ident by sequencing (if appropriate)
  87077-Additional identification procedure (if appropriate)
  87076-Id MALDI-TOF mass spec anaerobe (if appropriate)
  87076-Anaerobe Ident (if appropriate)
  87153-Anaerobe ident by sequencing (if appropriate)"
"LNORO","Norovirus PCR, Molecular Detection, Feces","87798 x 2"
"LEPDT","Leptospira, IgM, Serum","86720"
"TPMT3","Thiopurine Methyltransferase Activity Profile, Erythrocytes","84433"
"KKRP","Kingella kingae, Molecular Detection, PCR, Varies","87798"
"KKBRP","Kingella kingae, Molecular Detection, PCR, Blood","87798"
"BUPMX","Buprenorphine and Norbuprenorphine, Chain of Custody, Random, Urine","G0480
  80348 (if appropriate for select payers)
  Clinical Toxicology CPT Code Client Guidance
  &amp;nbsp;
  &amp;nbsp;"
"MRDMM","Multiple Myeloma Measurable Residual Disease (MRD), Flow Cytometry, Bone Marrow","88184-Flow Cytometry; first cell surface, cytoplasmic or nuclear marker
  88185 x 9-Flow Cytometry; additional cell surface, cytoplasmic or nuclear marker
  88188-Flow Cytometry Interpretation, 9 to 15 Markers"
"BCRFX","BCR/ABL1 Qualitative Diagnostic Assay with Reflex to BCR/ABL1 p190 Quantitative Assay or BCR/ABL1 p210 Quantitative Assay, Varies","81206
  81207
  81208"
"PD2T","Pompe Disease Second-Tier Newborn Screening, Blood Spot","83789"
"THIO","Thiopurine Metabolites, Whole Blood","80299"
"MACNT","Macadamia Nut, IgE, Serum","86003"
"TLBLF","T-Cell Lymphoblastic Leukemia/Lymphoma, FISH, Tissue","88271 x 2, 88291-DNA probe, each (first probe set), Interpretation and report
  88271 x 2-DNA probe, each; each additional probe set (if appropriate)
  88271-DNA probe, each; coverage for sets containing 3 probes (if appropriate)
  88271 x 2-DNA probe, each; coverage for sets containing 4 probes (if appropriate)
  88271 x 3-DNA probe, each; coverage for sets containing 5 probes (if appropriate)
  88274 w/modifier 52-Interphase in situ hybridization,"
"CORTF","Cortisol, Free, Serum","82530"
"PALD","Aldosterone, Plasma","82088"
"APIVC","Aldosterone, Inferior Vena Cava, Plasma","82088"
"APRAV","Aldosterone, Right Adrenal Vein, Plasma","82088"
"APLAV","Aldosterone, Left Adrenal Vein, Plasma","82088"
"CLOBZ","Clobazam and Metabolite, Serum","G0480
  80339 (if appropriate for select payers)
  Clinical Toxicology CPT Code Client Guidance"
"CORTO","Cortisol, Free and Total, Serum","82530
  82533"
"CDGN","Congenital Disorders of N-Glycosylation, Serum","83789"
"LGB3S","Globotriaosylsphingosine, Serum","82542"
"HBVQN","Hepatitis B Virus (HBV) DNA Detection and Quantification by Real-Time PCR, Serum","87517"
"MOGFS","Myelin Oligodendrocyte Glycoprotein (MOG-IgG1) Fluorescence-Activated Cell Sorting (FACS) Assay, Serum","86363
  86363-titer (if appropriate)"
"CDS1","CNS Demyelinating Disease Evaluation, Serum","86053
  86363
  86053-Titer (if appropriate)
  86363-Titer (if appropriate)"
"HIQNP","HIV-1 RNA Detection and Quantification, Prenatal, Plasma","87536"
"KCSF","Immunoglobulin Kappa Free Light Chain, Spinal Fluid","83521"
"SMNCS","Spinal Muscular Atrophy Carrier Screening, Deletion/Duplication Analysis, Varies","81329
  88233 (if appropriate)
  88240 (if appropriate)"
"SMNDX","Spinal Muscular Atrophy Diagnostic Assay, Deletion/Duplication Analysis, Varies","81329
  88235 (if appropriate)
  88240 (if appropriate)
  88233 (if appropriate)
  88240 (if appropriate)
  81265 (if appropriate)"
"PKUBS","Phenylalanine and Tyrosine, Blood Spot","84030
  84510
  82542 (if appropriate for government payers)"
"SEWB","Selenium, Blood","84255"
"CRWB","Chromium, Blood","82495"
"METR1","Cytochrome b5 Reductase Enzyme Activity, Blood","82657"
"HPLC","High-Performance Liquid Chromatography (HPLC) Hemoglobin Variant, Blood","83021"
"CTXBS","Cerebrotendinous Xanthomatosis, Blood Spot","82542"
"CTXP","Cerebrotendinous Xanthomatosis, Plasma","82542"
"GPSYP","Glucopsychosine, Plasma","82542"
"CEE49","CD49d Cell Expression Evaluation, Varies","88184-Flow cytometry; first cell surface, cytoplasmic or nuclear marker
  88185 x 3-Flow cytometry; additional cell surface, cytoplasmic or nuclear marker
  88187-Flow Cytometry Interpretation, 2 to 8 Markers"
"CEE52","CD52 Cell Expression Evaluation, Varies","88184-Flow cytometry; first cell surface, cytoplasmic or nuclear marker
  88185 x 3-Flow cytometry; additional cell surface, cytoplasmic or nuclear marker
  88187-Flow Cytometry Interpretation, 2 to 8 Markers"
"CEE20","CD20 Cell Expression Evaluation, Varies","88184-Flow cytometry; first cell surface, cytoplasmic or nuclear marker
  88185 x 3-Flow cytometry; additional cell surface, cytoplasmic or nuclear marker
  88187-Flow Cytometry Interpretation, 2 to 8 Markers"
"NGAMT","MayoComplete Acute Myeloid Leukemia, Therapeutic Gene Mutation Panel (FLT3, IDH1, IDH2, TP53), Next-Generation Sequencing, Varies","81120
  81121
  81245
  81246
  81352
  81479 (if appropriate for government payers)"
"ECULI","Eculizumab, Serum","80299"
"HSMP","Hepatosplenomegaly Panel, Plasma","82542"
"HSMWB","Hepatosplenomegaly Panel, Blood","82542"
"NGSFX","Reanalysis of Acute Myeloid Leukemia 4- or 11- Gene Panels, Additional Genes","81450"
"CRUO","Chromium Occupational Exposure, Random, Urine","82495 
  82570"
"PTFIB","PT-Fibrinogen, Plasma","85385"
"TRPS","Troponin T, 5th Generation, Plasma","84484"
"RIVAR","Rivaroxaban, Anti-Xa, Plasma","80299"
"APIXA","Apixaban, Anti-Xa, Plasma","80299"
"BLYM","B-Cell Lymphoma, FISH, Tissue","88377 (if 1 probe set)
  88377 x 2 (if 2 probe sets)
  88377 x 3 (if 3 probe sets)
  88377 x 4 (if 4 probe sets)
  88377 x 5 (if 5 probe sets)
  88377 x 6 (if 6 probe sets)"
"H2BR","HER2 Amplification Associated with Breast Cancer, FISH, Tissue","88377"
"H2GE","HER2 Amplification Associated with Gastroesophageal Cancer, FISH, Tissue","88377"
"H2MT","HER2 Amplification, Miscellaneous Tumor, FISH, Tissue","88377"
"SLL","Small Lymphocytic Lymphoma, FISH, Tissue","88377-if 1 probe set
  88377 x 2-if 2 probe sets
  88377 x 3-if 3 probe sets
  88377 x 4-if 4 probe sets
  88377 x 5-if 5 probe sets
  88377 x 6-if 6 probe sets
  88377 x 7-if 7 probe sets
  88377 x 8-if 8 probe sets"
"TLYM","T-Cell Lymphoma, FISH, Tissue","88377 (if 1 probe set)
  88377 x 2 (if 2 probe sets)
  88377 x 3 (if 3 probe sets)
  88377 x 4 (if 4 probe sets)
  88377 x 5 (if 5 probe sets)
  88377 x 6 (if 6 probe sets)
  88377 x 7 (if 7 probe sets)
  88377 x 8 (if 8 probe sets)"
"SMN1Z","SMN1 Gene, Full Gene Analysis, Varies","81336
  88233-Tissue culture, skin, or solid tissue biopsy (if appropriate)
  88240-Cryopreservation (if appropriate)"
"BUPM","Buprenorphine and Norbuprenorphine, Random, Urine","G0480
  80348 (if appropriate for select payers)
  Clinical Toxicology CPT Code Client Guidance"
"F8INV","Hemophilia A F8 Gene, Intron 1 and 22 Inversion Mutation Analysis, Whole Blood","81403"
"F8INP","Hemophilia A F8 Gene, Intron 1 and 22 Inversion Mutation Analysis, Prenatal","81403"
"PMPDD","PMP22 Gene, Large Deletion/Duplication Analysis, Varies","81324"
"ALBSF","Albumin, Spinal Fluid","82042"
"KRASD","Cell-Free DNA KRAS 12, 13, 61,146, Blood","81275
  81276
  &amp;nbsp;"
"BHISC","Bone Histomorphometry, Gross Microscopic Exam","88346
  88307
  88313"
"BHISI","Bone Histomorphometry, Consultant Interpretation, Slides Only","88321"
"EM","Electron Microscopy, Varies","88348"
"PATHC","Pathology Consultation","88321 (if appropriate)
  88323 (if appropriate)
  88325 (if appropriate)"
"ANPAT","Anatomic Pathology Consultation, Wet Tissue","88300 (if appropriate)
  88302 (if appropriate)
  88304 (if appropriate)
  88305 (if appropriate)
  88307 (if appropriate)
  88309 (if appropriate)"
"CPAPD","Conventional Smear-Diagnostic, Varies","P3000
    88164
    88141-CVSPC (if appropriate)"
"CYTNG","Cytology Non-Gynecologic, Varies","88104-NDSPC (if appropriate)
  88108-NCSPC (if appropriate)
  88112-NTPPC (if appropriate)
  88161-CSOPC (if appropriate)
  88162-CSAPC (if appropriate)
  88305-CBKPC (if appropriate)"
"CPAPS","Conventional Smear-Screen, Varies","P3000
  88164
  88141-CVSPC (if appropriate)"
"CTFNA","Cytology Fine-Needle Aspiration, Varies","88173
  88305-CBKPC (if appropriate)"
"STHPV","ThinPrep Screen with Human Papillomavirus (HPV) Reflex, Varies","G0123
  88142
  88141 (if appropriate)"
"DTPCO","ThinPrep with Human Papillomavirus (HPV) Co-Test-Diagnostic, Varies","88142
  G0123 (for government payers)
  87626 (if appropriate)
  87626 (if appropriate)
  88141 (if appropriate)"
"HPWET","Hematopathology Consultation, MCL Embed","85007 (if appropriate)
    85060 (if appropriate)
    85097 (if appropriate)
    88305 (if appropriate)
    88311 (if appropriate)"
"CD45I","CD45 Leukocyte Common Antigen (LCA) Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"AAH","Amyloid A (Hepatic) Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"AATRP","Alpha-1-Antitrypsin Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"ACTHI","Adrenocorticotropic Hormone (ACTH) Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"ADV","Adenovirus Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"ALFP","Alpha-Fetoprotein (AFP) Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"ANNEX","Annexin-1 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"APPI","Amyloid Precursor Protein (APP) Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"AREC","Androgen Receptor Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"ARGIN","Arginase-1 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"ATRX","ATRX Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"BCATN","Beta-Catenin Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"BCL2","BCL-2 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"BCL6","BCL-6 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"BOB1","BOB-1 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"BRACH","Brachyury Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"BRAFV","BRAF V600E Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CALCI","Calcitonin (CALCI) Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CALD","Caldesmon Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CALPN","Calponin Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CALNN","Calretinin Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD103","CD103 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD10","CD10 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD13","CD13 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD14I","CD14 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD15","CD15 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD19I","CD19 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD1A","CD1a Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD20I","CD20 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD21","CD21 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD22I","CD22 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD23","CD23 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD25","CD25 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD2","CD2 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD30","CD30 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD31","CD31 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD33","CD33 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD34I","CD34 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD35","CD35 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD38","CD38 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD3I","CD3 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD43","CD43 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD4I","CD4 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD56","CD56 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD57","CD57 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD5","CD5 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD61","CD61 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD71","CD71 Immunostain, Technical Component Only","88342-TC, Primary
  88341-TC, If additional IHC"
"CD7","CD7 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD8I","CD8 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CDX2","CDX2 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CHRO","Chromogranin Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CLAUD","Claudin-1 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CLUS","Clusterin Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CMVI","Cytomegalovirus (CMV) Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CO4D","Complement 4d Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"COLIV","Collagen IV Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CRPRO","C-Reactive Protein (CRP) Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"NEGCT","Negative Control, Technical Component Only",""
"CYC1","Cyclin D1 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD11C","CD11c Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD123","CD123 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD138","CD138 (Syndecan) Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD163","CD163 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"D240","Podoplanin (D2-D40) Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD279","CD279 (PD-1) Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"CD79","CD79a Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"DESG3","Desmoglein 3 (DSG3) Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"DESMN","Desmin Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"DOG1","DOG-1 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"ECAD","E-Cadherin Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"EMAI","Epithelial Membrane Antigen (EMA) Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"ERG","ERG Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"ESTR","Estrogen Receptor Immunostain, Technical Component Only","88342-TC, Primary
  88341-TC, If additional IHC"
"FC13A","Factor 13a Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"LFABP","Liver Fatty Acid-Binding Protein (L-FABP) Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"FACR8","Factor 8 Related Antigen Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"FASC","Fascin Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"FLI1","FLI-1 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"FSHB","Follicle Stimulating Hormone, Beta Subunit (Beta FSH) Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"FUSI","FUS Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"FOXP1","FOXP1 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"FOXP3","FOXP3 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"GAB1","GRB2-Associated Binding Protein 1 (GAB1) Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"GALN3","Galectin-3 Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"GASTN","Gastrin Immunostain, Technical Component Only","88342-TC, Primary
  88341-TC, If additional IHC"
"GATA3","GATA Binding Protein 3 Immunostain, Technical Component Only","88342-TC, Primary
  88341-TC, If additional IHC"
"GCDF","GCDFP-15 Immunostain, Technical Component Only","88342-TC, Primary
  88341-TC, If additional IHC"
"GCET","Germinal Center B-cell Expressed Transcript 1 Immunostain, Technical Component Only","88342-TC, Primary
  88341-TC, If additional IHC"
"GFAP","Glial Fibrillary Acidic Protein Immunostain, Technical Component Only","88342-TC, Primary
  88341-TC, If additional IHC"
